"species","rotation","MovDist"
"1","Abildgaardia_ovata","30","32028.3042983936"
"2","Abildgaardia_ovata","60","11464.0540390766"
"3","Abildgaardia_ovata","90","7757.64684280133"
"4","Abildgaardia_ovata","120","-1227.01622467957"
"5","Abildgaardia_ovata","150","-5853.10055423732"
"6","Abildgaardia_ovata","180","-18052.4937822563"
"7","Abildgaardia_ovata","210","-9071.06953984304"
"8","Abildgaardia_ovata","240","-3300.12046391022"
"9","Abildgaardia_ovata","270","-3006.36583022666"
"10","Abildgaardia_ovata","300","-3224.94031715882"
"11","Abildgaardia_ovata","330","56434.9938784603"
"12","Abildgaardia_ovata","360","243264.562115175"
"13","Abrus_precatorius","30","73668.1130315388"
"14","Abrus_precatorius","60","-1273.91686621182"
"15","Abrus_precatorius","90","-2691.12381380526"
"16","Abrus_precatorius","120","-8717.50005768082"
"17","Abrus_precatorius","150","-19254.8836989304"
"18","Abrus_precatorius","180","-43054.8900668296"
"19","Abrus_precatorius","210","-12503.6978901766"
"20","Abrus_precatorius","240","8752.89258893824"
"21","Abrus_precatorius","270","-2042.86550218516"
"22","Abrus_precatorius","300","-2832.97875977744"
"23","Abrus_precatorius","330","93277.7313142754"
"24","Abrus_precatorius","360","121380.346910475"
