"spname" "" "x" "y"
"1" "Abildgaardia_ovata" "30" "-81.6770833912312" "30.702083332437"
"2" "Abildgaardia_ovata" "60" "-81.0312500079334" "29.1229166671134"
"3" "Abildgaardia_ovata" "90" "-80.6270833330708" "28.3791670810252"
"4" "Abildgaardia_ovata" "120" "-80.2270833371208" "27.1312499967043"
"5" "Abildgaardia_ovata" "150" "-80.3333333386118" "25.633333332817"
"6" "Abildgaardia_ovata" "180" "-80.7562435646113" "25.0812510036029"
"7" "Abildgaardia_ovata" "210" "-82.0416666580979" "26.6479166941133"
"8" "Abildgaardia_ovata" "240" "-82.5041666600167" "27.3416666594516"
"9" "Abildgaardia_ovata" "270" "-82.7187499989073" "27.837500001882"
"10" "Abildgaardia_ovata" "300" "-87.3458333334778" "30.5166666766516"
"11" "Abildgaardia_ovata" "330" "-87.5166666695801" "30.902083337583"
"12" "Abildgaardia_ovata" "360" "-83.5979166730659" "30.5979166678966"
"13" "Abrus_precatorius" "30" "-81.4541666680837" "30.0229171962928"
"14" "Abrus_precatorius" "60" "-80.8104166329683" "28.3250000362982"
"15" "Abrus_precatorius" "90" "-80.5541666657876" "27.879166631527"
"16" "Abrus_precatorius" "120" "-80.2958333426459" "27.160416662758"
"17" "Abrus_precatorius" "150" "-80.1812500020322" "26.0520828086598"
"18" "Abrus_precatorius" "180" "-80.6416655288738" "25.4583341401141"
"19" "Abrus_precatorius" "210" "-81.6187499932375" "26.0208411670568"
"20" "Abrus_precatorius" "240" "-82.1875000035443" "27.1687499996276"
"21" "Abrus_precatorius" "270" "-82.5208333302524" "27.3875000012001"
"22" "Abrus_precatorius" "300" "-82.722916669744" "28.0499999812899"
"23" "Abrus_precatorius" "330" "-83.4727660572623" "30.0958330399995"
"24" "Abrus_precatorius" "360" "-83.2000000230232" "30.5583333348325"
